question_id,category,content,remain_question_num
1,laptop,12万円のパソコンがありました。性能もよく、自分の好みのパソコンです。あなたは買いますか？,11
2,laptop,性能よりも値段が重視。安ければ安いほどよい！,10
3,laptop,Windows派？Mac派？,9
4,laptop,よくパソコンを外に持ち運びますか？,8
5,laptop,画面にタッチして操作したいですか？,7
6,laptop,私はPCでゲームをしたいんです！,6
7,laptop,膝の上でパソコンを操作しちゃう？,5
8,laptop,動画などの容量の大きいファイルを大量にパソコンの中に保存しておきたいですか？,4
9,laptop,充電できない環境で長時間利用しますか？,3
10,laptop,パソコンにUSBを複数接続させたい！,2
11,laptop,SDカードの読み込みは必須機能？,1
12,laptop,DVDは読み書き機能は必須？（外付けのDVDドライブは面倒くさい）,0
13,laptop,でも15万円なら買わない？,11
14,toiletpaper,トイレットペーパーに面白さは求めますか？,3
15,toiletpaper,「シングル」でも問題ないですか？,2
16,toiletpaper,「最高の柔らかさ」を求めますか？,1
17,toiletpaper,香りは必要ですか？,0
18,pc,パソコンを外に持ち運びますか？,25
19,pc,充電できない環境で半日以上利用しますか？,24
20,pc,パソコンを家の中で持ち運びますか？,23
21,pc,Mac派ですか？Windows派ですか？,22
22,pc,動画編集、RAW編集、DTM、ゲームをパソコンでしますか？,21
23,pc,使いたいRAW編集Softはどれですか？,20
24,pc,なにで写真を取りますか？,19
25,pc,写真をどのように転送したいですか？,18
26,pc,PCの重量が重たくなってでも、SDカード用スロットは必須ですか？(1000円程度で買えるUSB外付けのSDカードリーダはいや),17
27,pc,PCにWifi機能は必須ですか？ (3000円程度で買えるUSB外付けの無線LANアダプタをつけるのはいや),16
28,pc,DTMで作曲したいジャンルはどれですか？,15
29,pc,DTMで使いたい作曲用Softはどれですか？,14
30,pc,4K動画や長時間動画の編集、有料動画編集ソフトによる高度な技術を用いた動画編集をしますか？,13
31,pc,使いたい動画編集Softはどれですか？,12
32,pc,なにで動画を取りますか？,11
33,pc,ブラウザゲーム？MMOPRGやFPS/TPSなどの3Dゲーム？,10
34,pc,FPS/TPSのどんなタイトルをやりたいですか？,9
35,pc,MMOPRGのどんなタイトルをやりたいですか？,8
36,pc,オープンワールドのどんなタイトルをやりたいですか？,7
37,pc,どれくらいの動作速度でゲームしたいですか？,6
38,pc,Office作業に使ったり、プログラミングをしたりしますか？,5
39,pc,Microsoft Officeはインストールされているのは必須ですか？,4
40,pc,写真や動画などのデータをたくさん保存しますか？,3
41,pc,タッチパネル操作機能は必須ですか？,2
42,pc,自分でPCのパーツ交換や追加できるカスタム性が高いPCがいいですか？,1
43,pc,同じ性能のPCより約7万円以上高くなってでも、テレビが見れる機能は欲しいですか？,0
44,pc,標準的なスペックから低くなってでも、安いほうがいいですか？,0
45,pc,予算は7-8万以下ですか？,0


